RA,nome,ano_referencia,ano_nascimento,idade,genero,ano_ingresso,instituicao_ensino,Fase,Turma,INDE,IAA,IEG,IPS,IDA,IPV,IAN,IPP,risco,Pedra
RA-1,Aluno-1,2022,2003,19,Menina,2016,Escola Pública,7,A,5.783,8.3,4.1,5.6,4.0,7.278,5.0,,1,Ágata
RA-2,Aluno-2,2022,2005,17,Menina,2017,Rede Decisão,7,A,7.055,8.8,5.2,6.3,6.8,6.778,10.0,,0,Ametista
RA-3,Aluno-3,2022,2005,17,Menina,2016,Rede Decisão,7,A,6.591,0.0,7.9,5.6,5.6,7.556,10.0,,0,Ágata
RA-4,Aluno-4,2022,2005,17,Menino,2017,Rede Decisão,7,A,5.951,8.8,4.5,5.6,5.0,5.278,10.0,,0,Ágata
RA-5,Aluno-5,2022,2005,17,Menina,2016,Rede Decisão,7,A,7.427,7.9,8.6,5.6,5.2,7.389,10.0,,0,Ametista
RA-6,Aluno-6,2022,2004,18,Menina,2021,Escola Pública,7,A,5.848,7.9,4.5,7.5,3.3,7.222,5.0,,1,Ágata
RA-7,Aluno-7,2022,2004,18,Menino,2017,Rede Decisão,7,A,6.818,0.0,8.4,7.5,7.6,7.667,5.0,,0,Ágata
RA-8,Aluno-8,2022,2002,20,Menina,2018,Escola Pública,7,A,4.786,7.1,4.6,6.3,1.6,6.278,5.0,,1,Quartzo
RA-9,Aluno-9,2022,2004,18,Menina,2019,Escola Pública,7,A,8.109,8.8,9.5,7.5,6.7,9.5,5.0,,0,Ametista
RA-10,Aluno-10,2022,2004,18,Menina,2021,Escola Pública,7,A,5.784,8.3,5.2,5.0,4.1,7.056,5.0,,1,Ágata
RA-11,Aluno-11,2022,2004,18,Menina,2016,Escola Pública,7,A,5.323,9.2,4.2,5.0,3.0,6.389,5.0,,1,Quartzo
RA-12,Aluno-12,2022,2005,17,Menina,2020,Escola Pública,7,A,4.832,0.0,4.0,6.9,1.5,6.389,10.0,,1,Quartzo
